,炉号,钢种,钢号,转炉终点温度,转炉终点C,转炉终点Mn,转炉终点S,转炉终点P,转炉终点Si,钢水净重,连铸正样C,连铸正样Mn,连铸正样S,连铸正样P,连铸正样Si,连铸正样Ceq_val,连铸正样Cr,连铸正样Ni_val,连铸正样Cu_val,连铸正样Nb_val,连铸正样V_val,连铸正样Alt_val,连铸正样Als_val,连铸正样Mo_val,连铸正样Ti_val,连铸正样N_val,连铸正样O_val,连铸正样B_val,氮化钒铁FeV55N11-A,低铝硅铁,钒氮合金(进口),钒铁(FeV50-A),错误（钒铁(FeV50-B)）,钒铁(FeV50-B),硅铝钙,硅铝合金FeAl30Si25,硅铝锰合金球,硅锰面（硅锰渣）,硅铁(合格块),硅铁FeSi75-B,石油焦增碳剂,锰硅合金FeMn64Si27(合格块),锰硅合金FeMn68Si18(合格块),碳化硅(55%),硅钙碳脱氧剂,C采收率
482,7A06388             ,低合金    ,HRB400B    ,0.0,0.00086,,0.00021,,0.001,69900.0,0.0024,0.0134,0.00035,0.00034,0.0037,0.476,0.0024,0.004,0.011,,0.033,0.0042,0.002,0.0006,0.0,,,,15.0,0.0,0.0,0.0,0.0,30.0,25.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,1550.0,132.0,0.0,1.05827579886356
484,7A06386             ,低合金    ,HRB400B    ,0.0,0.00054,,0.00033,,0.001,71550.0,0.0023,0.0131,0.0003,0.00028,0.0036,0.462,0.0025,0.007,0.014,,0.033,0.0043,0.0021,0.0015,0.0,,,,15.0,0.0,0.0,0.0,0.0,30.0,50.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,1470.0,132.0,0.0,0.868727147102943
487,7A06383             ,低合金    ,HRB400B    ,0.0,0.00036,,0.00035,,0.001,77350.0,0.0023,0.0133,0.00032,0.00023,0.0037,0.465,0.0021,0.008,0.018,,0.036,0.0043,0.0021,0.0017,0.0,,,,16.0,0.0,0.0,0.0,0.0,31.0,75.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,1570.0,132.0,0.0,0.785551042512862
515,7A06355             ,低合金    ,HRB400B    ,0.0,0.00072,,0.00025,,0.001,68400.0,0.0023,0.0131,0.0003,0.00018,0.0036,0.459,0.0016,0.004,0.012,0.0,0.034,0.0051,0.0032,0.0021,0.001,,,,7.0,0.0,0.0,0.0,0.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,1500.0,132.0,0.0,0.81354055954347
516,7A06354             ,低合金    ,HRB400B    ,0.0,0.00076,,0.00021,,0.001,71750.0,0.0022,0.0129,0.00026,0.00017,0.0036,0.447,0.0019,0.005,0.016,0.0,0.034,0.0048,0.003,0.0017,0.001,,,,6.0,0.0,0.0,0.0,0.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,1470.0,132.0,0.0,0.882775952740141
520,7A06350             ,低合金    ,HRB400B    ,0.0,0.00032,,0.00016,,0.001,76600.0,0.0024,0.013,0.00029,0.00029,0.0037,0.47,0.0022,0.006,0.016,0.0,0.035,0.0053,0.0033,0.0028,0.001,,,,7.0,0.0,0.0,0.0,0.0,40.0,50.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,1450.0,132.0,0.0,0.953044291456086
540,7A06330             ,低合金    ,HRB400B    ,0.0,0.00077,,0.00023,,0.001,75550.0,0.0023,0.013,0.00023,0.00028,0.0033,0.46,0.0025,0.006,0.014,,0.033,0.0045,0.0023,0.0022,0.0,,,,6.0,0.0,0.0,0.0,0.0,38.0,25.0,0.0,0.0,200.0,0.0,0.0,51.0,0.0,1220.0,132.0,0.0,0.851022705977645
545,7A06325             ,低合金    ,HRB400B    ,0.0,0.00074,,0.00028,,0.002,72150.0,0.0023,0.0131,0.00027,0.00024,0.0036,0.461,0.0022,0.005,0.013,,0.035,0.004,0.0018,0.0024,0.0,,,,6.0,0.0,0.0,0.0,0.0,38.0,25.0,0.0,0.0,200.0,0.0,0.0,54.0,0.0,1220.0,132.0,0.0,0.902960835081003
548,7A06322             ,低合金    ,HRB400B    ,0.0,0.00076,,0.00014,,0.001,71250.0,0.0024,0.0128,0.00026,0.0002,0.0036,0.466,0.0022,0.005,0.012,,0.033,0.0046,0.0024,0.0022,0.0,,,,6.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,200.0,0.0,0.0,54.0,0.0,1260.0,132.0,20.0,1.10349342036451
587,7A06283             ,低合金    ,HRB400B    ,0.0,0.00028,,0.00029,,0.002,77200.0,0.0023,0.0131,0.00028,0.00025,0.0034,0.462,0.0025,0.006,0.018,0.0,0.033,0.0049,0.0031,0.0,0.001,,,,6.0,0.0,0.0,0.0,0.0,39.0,50.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,1440.0,132.0,0.0,0.936394165020513
616,7A06254             ,低合金    ,HRB400B    ,0.0,0.00055,,0.00027,,0.002,69000.0,0.0024,0.0131,0.0003,0.00025,0.0038,0.473,0.0024,0.008,0.014,,0.036,0.0042,0.0019,0.0041,0.0,,,,6.0,0.0,0.0,0.0,0.0,39.0,50.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,1420.0,132.0,0.0,0.872254559565386
617,7A06253             ,低合金    ,HRB400B    ,0.0,0.00067,,0.00027,,0.002,70000.0,0.0024,0.0131,0.00028,0.00027,0.0036,0.473,0.0028,0.007,0.016,,0.035,0.003,0.0008,0.0033,0.0,,,,7.0,0.0,0.0,0.0,0.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,1480.0,132.0,0.0,1.01393732741453
638,7A06232             ,低合金    ,HRB400B    ,0.0,0.00056,,0.00024,,0.002,71750.0,0.0023,0.0133,0.0003,0.00023,0.0036,0.462,0.0016,0.005,0.012,,0.032,0.0059,0.0036,0.0021,0.001,,,,15.0,0.0,0.0,0.0,0.0,31.0,50.0,0.0,0.0,200.0,0.0,0.0,85.0,0.0,1300.0,88.0,0.0,0.840355574716408
640,7A06230             ,低合金    ,HRB400B    ,0.0,0.00044,,0.0003,,0.002,74400.0,0.0022,0.0131,0.0003,0.00023,0.0036,0.45,0.0018,0.005,0.015,,0.032,0.0035,0.0013,0.0021,0.0,,,,15.0,0.0,0.0,0.0,0.0,31.0,5.0,0.0,0.0,200.0,0.0,0.0,95.0,0.0,1310.0,88.0,0.0,0.834132899104402
644,7A06226             ,低合金    ,HRB400B    ,0.0,0.00047,,0.0003,,0.002,71300.0,0.0023,0.0135,0.0003,0.00023,0.0037,0.468,0.002,0.006,0.015,,0.033,0.0038,0.0016,0.0016,0.001,,,,7.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,200.0,0.0,0.0,90.0,0.0,1370.0,88.0,0.0,0.880498310325621
676,7A06194             ,低合金    ,HRB400B    ,0.0,0.00038,,0.00024,,0.002,68600.0,0.0023,0.0134,0.00023,0.0003,0.0038,0.466,0.002,0.008,0.013,,0.035,0.0038,0.0016,0.0033,0.0,,,,16.0,0.0,0.0,0.0,0.0,32.0,50.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,1520.0,132.0,0.0,0.758928809147942
679,7A06191             ,低合金    ,HRB400B    ,0.0,0.00046,,0.00028,,0.002,76250.0,0.0024,0.0132,0.00028,0.00026,0.0038,0.473,0.0022,0.007,0.014,,0.032,0.004,0.0018,0.0035,0.001,,,,15.0,0.0,0.0,0.0,0.0,30.0,50.0,0.0,0.0,200.0,0.0,0.0,75.0,0.0,1270.0,132.0,0.0,1.13603381712503
681,7A06189             ,低合金    ,HRB400B    ,0.0,0.00045,,0.00024,,0.002,72150.0,0.0023,0.0133,0.00026,0.00023,0.0039,0.466,0.0022,0.011,0.014,,0.034,0.0051,0.0028,0.0052,0.001,,,,16.0,0.0,0.0,0.0,0.0,30.0,50.0,0.0,0.0,200.0,0.0,0.0,85.0,0.0,1380.0,132.0,0.0,1.00379777450132
686,7A06184             ,低合金    ,HRB400B    ,0.0,0.00094,,0.00022,,0.002,71800.0,0.0023,0.0131,0.00022,0.00033,0.0033,0.461,0.0022,0.007,0.012,,0.033,0.0037,0.0015,0.0039,0.001,,,,15.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,200.0,0.0,0.0,51.0,0.0,1320.0,132.0,20.0,0.928438569230651
688,7A06182             ,低合金    ,HRB400B    ,0.0,0.00053,,0.00031,,0.002,75400.0,0.0022,0.0132,0.00028,0.00021,0.0037,0.454,0.0022,0.007,0.017,,0.033,0.0039,0.0017,0.004,0.001,,,,15.0,0.0,0.0,0.0,0.0,30.0,50.0,0.0,0.0,200.0,0.0,0.0,85.0,0.0,1300.0,132.0,0.0,0.649813791692244
689,7A06181             ,低合金    ,HRB400B    ,0.0,0.00127,,0.00038,,0.002,72400.0,0.0022,0.0132,0.00035,0.00016,0.0039,0.454,0.0024,0.009,0.014,,0.034,0.0038,0.0016,0.0035,0.001,,,,45.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,200.0,0.0,0.0,34.0,0.0,1300.0,132.0,0.0,0.846658927516751
721,7A06149             ,低合金    ,HRB400B    ,0.0,0.00036,,0.00029,,0.002,70650.0,0.0024,0.0129,0.00032,0.00029,0.0034,0.469,0.0025,0.007,0.016,,0.035,0.0038,0.0016,0.0033,0.001,,,,7.0,0.0,0.0,0.0,0.0,40.0,50.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,1450.0,132.0,0.0,0.983433711380524
725,7A06145             ,低合金    ,HRB400B    ,0.0,0.00074,,0.00017,,0.002,76600.0,0.0023,0.013,0.00026,0.00033,0.0035,0.46,0.0022,0.006,0.012,,0.034,0.0036,0.0014,0.0022,0.0,,,,5.0,0.0,0.0,0.0,0.0,35.0,25.0,0.0,0.0,200.0,0.0,0.0,54.0,0.0,1130.0,132.0,0.0,0.832559556861736
746,7A06124             ,低合金    ,HRB400B    ,0.0,0.00068,,0.00032,,0.002,78450.0,0.0023,0.0134,0.00028,0.0002,0.0037,0.465,0.0015,0.007,0.015,,0.03,0.0042,0.002,0.0026,0.0,,,,15.0,0.0,0.0,0.0,0.0,31.0,25.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,1480.0,132.0,0.0,0.957824334185896
808,7A06062             ,低合金    ,HRB400B    ,0.0,0.00067,,0.0004,,0.003,72750.0,0.0023,0.0128,0.0003,0.00016,0.0036,0.454,0.0012,0.006,0.012,,0.033,0.0039,0.0017,0.002,0.0,,,,6.0,0.0,0.0,0.0,0.0,40.0,50.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,1562.0,88.0,0.0,1.015399775921
821,7A06050             ,低合金    ,HRB400B    ,0.0,0.00089,,0.00021,,0.003,68400.0,,,,,,0.47,,0.007,0.013,,0.033,0.0038,0.0016,0.0027,0.0,,,,6.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,200.0,0.0,0.0,44.0,0.0,1200.0,132.0,20.0,
836,7A06035             ,低合金    ,HRB400B    ,0.0,0.00049,,0.00025,,0.003,70650.0,,,,,,0.464,,0.005,0.013,,0.035,0.0041,0.0019,0.0035,0.0,,,,6.0,0.0,0.0,0.0,0.0,40.0,50.0,0.0,0.0,200.0,0.0,0.0,85.0,0.0,1390.0,132.0,0.0,
837,7A06034             ,低合金    ,HRB400B    ,0.0,0.00038,,0.00027,,0.002,69800.0,,,,,,0.471,,0.005,0.014,,0.031,0.0048,0.0025,0.0032,0.0,,,,12.0,0.0,0.0,0.0,0.0,27.0,75.0,0.0,0.0,200.0,0.0,0.0,85.0,0.0,1320.0,132.0,0.0,
846,7A06025             ,低合金    ,HRB400B    ,0.0,0.00076,,0.00035,,0.002,73500.0,,,,,,0.461,,0.005,0.011,,0.036,0.0037,0.0015,0.0025,0.001,,,,6.0,0.0,0.0,0.0,0.0,40.0,25.0,0.0,0.0,200.0,0.0,0.0,58.0,0.0,1170.0,88.0,0.0,
864,7A06007             ,低合金    ,HRB400B    ,0.0,0.00088,,0.00028,,0.001,71300.0,,,,,,0.476,,0.007,0.015,,0.035,0.004,0.0018,0.0033,0.0,,,,7.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,200.0,0.0,0.0,51.0,0.0,1300.0,0.0,20.0,
870,7A06001             ,低合金    ,HRB400B    ,0.0,0.00064,,0.00024,,0.001,71900.0,,,,,,0.462,,0.007,0.017,,0.034,0.0039,0.0017,0.0031,0.0,,,,6.0,0.0,0.0,0.0,0.0,40.0,25.0,0.0,0.0,200.0,0.0,0.0,75.0,0.0,1300.0,88.0,0.0,
951,7A05920             ,低合金    ,20MnKA     ,0.0,0.00068,,0.00026,,0.001,69200.0,,,,,,0.451,,0.01,0.015,,0.0,0.0026,0.0021,0.0,,,,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,300.0,0.0,0.0,68.0,0.0,1077.0,132.0,0.0,
996,7A05875             ,低合金    ,HRB400B    ,0.0,0.00054,,0.00018,,0.003,63300.0,,,,,,0.466,,0.003,0.013,,0.033,0.0039,0.0017,0.0042,0.0,,,,7.0,0.0,0.0,0.0,0.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,1520.0,88.0,0.0,
998,7A05873             ,低合金    ,20MnKB     ,0.0,0.00079,,0.00027,,0.003,74200.0,,,,,,0.437,,0.005,0.014,,0.0,0.0049,0.0036,0.005,,,,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,85.0,0.0,1440.0,0.0,0.0,
1023,7A05848             ,低合金    ,HRB400B    ,0.0,0.00055,,0.00035,,0.001,72450.0,,,,,,0.458,,0.001,0.01,0.0,0.034,0.0043,0.0027,0.0,0.0,,,,7.0,0.0,0.0,0.0,0.0,40.0,50.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,1450.0,132.0,0.0,
1042,7A05829             ,低合金    ,HRB400B    ,0.0,0.0009,,0.0003,,0.001,73050.0,,,,,,0.466,,0.005,0.013,,0.033,0.0033,0.0012,0.0022,0.001,,,,8.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,1450.0,88.0,20.0,
1044,7A05827             ,低合金    ,HRB400B    ,0.0,0.00094,,0.00026,,0.001,74000.0,,,,,,0.462,,0.005,0.012,,0.033,0.0035,0.0013,0.0028,0.0,,,,14.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,1520.0,88.0,20.0,
1047,7A05824             ,低合金    ,HRB400B    ,0.0,0.00077,,0.00025,,0.001,75700.0,,,,,,0.469,,0.006,0.014,,0.032,0.0034,0.0012,0.0013,0.0,,,,7.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,1500.0,88.0,20.0,
1051,7A05820             ,低合金    ,HRB400B    ,0.0,0.00071,,0.00021,,0.001,69900.0,,,,,,0.46,,0.007,0.012,,0.032,0.0036,0.0014,0.0015,0.0,,,,6.0,0.0,0.0,0.0,0.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,1415.0,88.0,0.0,
1076,7A05795             ,低合金    ,HRB400B    ,0.0,0.00062,,0.00034,,0.001,77000.0,,,,,,0.461,,0.008,0.018,,0.034,0.0035,0.0013,0.0015,0.0,,,,15.0,0.0,0.0,0.0,0.0,30.0,25.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,1500.0,132.0,0.0,
1082,7A05789             ,低合金    ,HRB400B    ,0.0,0.00071,,0.00036,,0.0,73800.0,,,,,,0.488,,0.008,0.017,0.0,0.033,0.0045,0.0028,0.0,0.001,,,,14.0,0.0,0.0,0.0,0.0,31.0,50.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,1500.0,132.0,0.0,
1097,7A05774             ,低合金    ,HRB400B    ,0.0,0.00065,,0.00025,,0.001,71750.0,,,,,,0.467,,0.007,0.016,0.0,0.032,0.0075,0.0047,0.0009,0.001,,,,15.0,0.0,0.0,0.0,0.0,31.0,0.0,25.0,0.0,0.0,0.0,0.0,78.0,0.0,1510.0,88.0,0.0,
